COD_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO DET;TIPO INSUMO;UND NEGOCIOS;CENTRO COSTOS
1;73;LENTES INTRAOCULARES OCUFLEX +15.00;LI-0000001;150;4;U04;200101
2;74;LENTES INTRAOCULARES OCUFLEX +16.00;LI-0000002;150;4;U04;200101
3;75;LENTES INTRAOCULARES OCUFLEX +17.00;LI-0000003;150;4;U04;200101
4;76;LENTES INTRAOCULARES OCUFLEX +17.50;LI-0000004;150;4;U04;200101
5;77;LENTES INTRAOCULARES OCUFLEX +18.00;LI-0000005;150;4;U04;200101
6;78;LENTES INTRAOCULARES OCUFLEX +18.50;LI-0000006;150;4;U04;200101
7;79;LENTES INTRAOCULARES OCUFLEX +19.00;LI-0000007;150;4;U04;200101
8;80;LENTES INTRAOCULARES OCUFLEX +19.50;LI-0000008;150;4;U04;200101
9;81;LENTES INTRAOCULARES OCUFLEX +20.00;LI-0000009;150;4;U04;200101
10;82;LENTES INTRAOCULARES OCUFLEX +20.50;LI-0000010;150;4;U04;200101
11;83;LENTES INTRAOCULARES OCUFLEX +21.00;LI-0000011;150;4;U04;200101
12;84;LENTES INTRAOCULARES OCUFLEX +21.50;LI-0000012;150;4;U04;200101
13;85;LENTES INTRAOCULARES OCUFLEX +22.00;LI-0000013;150;4;U04;200101
14;86;LENTES INTRAOCULARES OCUFLEX +22.50;LI-0000014;150;4;U04;200101
15;87;LENTES INTRAOCULARES OCUFLEX +23.00;LI-0000015;150;4;U04;200101
16;88;LENTES INTRAOCULARES OCUFLEX +23.50;LI-0000016;150;4;U04;200101
17;89;LENTES INTRAOCULARES OCUFLEX +24.00;LI-0000017;150;4;U04;200101
18;90;LENTES INTRAOCULARES OCUFLEX +24.50;LI-0000018;150;4;U04;200101
19;91;LENTES INTRAOCULARES OCUFLEX +25.00;LI-0000019;150;4;U04;200101
20;92;LENTES INTRAOCULARES OCUFLEX +26.00;LI-0000020;150;4;U04;200101
21;93;LENTES INTRAOCULARES OCUFLEX +27.00;LI-0000021;150;4;U04;200101
22;94;LENTES INTRAOCULARES OCUFLEX +28.00;LI-0000022;150;4;U04;200101
23;95;LENTES INTRAOCULARES OCUFLEX +29.00;LI-0000023;150;4;U04;200101
24;96;LENTES INTRAOCULARES OCUFLEX +30.00;LI-0000024;150;4;U04;200101
25;97;LENTES INTRAOCULARES OCUFLEX +31.00;LI-0000025;150;4;U04;200101
26;98;LENTES INTRAOCULARES OCUFLEX +32.00;LI-0000026;150;4;U04;200101
27;99;LENTES INTRAOCULARES OCUFLEX +33.00;LI-0000027;150;4;U04;200101
28;100;LENTES INTRAOCULARES OCUFLEX +34.00;LI-0000028;150;4;U04;200101
29;101;LENTES INTRAOCULARES SA60AT+6.00;LI-0000029;150;4;U04;200101
