autoincremental;numero_tag;tag;serial;poder;gtin;fechavence;tipo_lente
1;541;801191a502006034f0059d;15178488012;18,50;380652389396;2026-04-13;TFNT20
2;576;801191a502006034f00899;115279064049;23,00;380652357791;2024-10-26;TFNT00
3;627;801191a502006034efe596;115304891015;20,00;380652357739;2024-11-26;TFNT00
4;600;801191a502006034f02791;115319310017;23,00;380652357791;2024-12-26;TFNT00
5;557;801191a502006034f0099c;115343686070;18,50;380652357708;2024-01-27;TFNT00
6;24;801191a502006034f0063e;115301577061;24,00;380652390057;2026-11-07;TFNT30
7;653;e2801191a502006034efe89b;125342206034;20,50;380652393720;0000-00-00;CNA0T0
8;654;e2801191a502006034efe89a;125341241003;21,00;380652393737;2025-01-16;CNA0T0
9;655;e2801191a502006034efe899;125341241002;21,00;380652393737;0000-00-00;CNA0T0
10;656;e2801191a502006034efe898;125319111146;22,00;380652393751;0000-00-00;CNA0T0
11;657;e2801191a502006034efe897;125342193104;23,50;380652393782;2025-01-30;CNA0T0
12;658;e2801191a502006034efe896;125342193103;23,50;380652393782;2025-01-30;CNA0T0
13;659;e2801191a502006034efe895;125309233143;28,00;380652396493;2024-11-14;CNA0T0
14;660;e2801191a502006034efe894;125348067060;18,50;380652393683;2025-01-29;CNA0T0
15;663;e2801191a502006034efe891;125333779001;19,50;380652393706;0000-00-00;CNA0T0
16;664;e2801191a502006034efe890;125326707130;26,00;380652396455;2025-01-03;CNA0T0
17;665;e2801191a502006034f0079f;125298539045;25,50;380652396448;2024-11-07;CNA0T0
18;666;e2801191a502006034f0079e;125326706100;26,00;380652396455;2025-01-04;CNA0T0
19;667;e2801191a502006034f0079d;125309307072;24,50;380652393805;2024-11-09;CNA0T0
20;668;e2801191a502006034f0079c;125282239106;24,00;380652393799;2024-10-02;CNA0T0
21;669;e2801191a502006034f0079b;125309307129;24,50;380652393805;2024-11-09;CNA0T0
22;670;e2801191a502006034f0079a;125156326132;25,00;380652393812;2024-02-23;CNA0T0
23;683;e2801191a502006034f0069d;115071968063;18,00;380652389389;2025-05-19;TFNT20
24;695;e2801191a502006034f00691;115091455012;18,50;380652389396;2025-08-10;TFNT20
25;697;e2801191a502006034efc59f;115093710030;19,50;380652389419;2025-09-13;TFNT20
26;696;e2801191a502006034f00690;115182297036;18,00;380652389938;0000-00-00;TFNT30
27;699;e2801191a502006034efc59d;115098398017;18,50;380652389945;0000-00-00;TFNT30
28;698;e2801191a502006034efc59e;115105953033;19,50;380652389969;2025-10-08;TFNT30
