cod_insumo;nombre_insumo;id_usuario_crea;fecha_crea;id_usuario_mod;fecha_mod;id_tipo_insumo;id_tipo_insumo_p;cod_und_negocios;cod_centro_costos;cod_insumo_siesa
1;Lentes Intraoculares Ocuflex;1;2014-05-13 09:07:22;;;150;3;U04;200101;
2;Lentes Intraoculares Sa60at;1;2014-05-13 09:07:22;;;150;3;U04;200101;
3;Lentes Intraoculares Natural;1;2014-05-13 09:07:22;;;150;3;U04;200101;
4;Lentes Intraoculares Iq;1;2014-05-13 09:07:22;;;150;3;U04;200101;
5;Lentes Intraoculares Iq Torico;1;2014-05-13 09:07:22;;;150;3;U04;200101;
6;Lentes Intraoculares Restor;1;2014-05-13 09:07:22;;;150;3;U04;200101;
7;Lentes Intraoculares R. Torico;1;2014-05-13 09:07:22;;;150;3;U04;200101;
9;Lentes Intraoculares Artisan Faquico Torico;1;2014-05-13 09:07:22;;;150;3;U04;200101;
10;Tapones de silicona;1;0000-00-00 00:00:00;;;150;5;U01;200101;
11;Tapones de Colágeno;1;0000-00-00 00:00:00;;;150;5;U01;200101;
12;Lentes Intraoculares Artisan de Afaquia;1;2015-10-05 15:40:31;;;150;3;U04;200101;
13;Lentes de Contacto;1;2015-11-03 14:54:54;;;150;4;U04;200101;
14;Derechos de Equipo fotocoagulacion;1;2016-02-10 16:42:13;;;150;2;U02;200101;
15;Derechos de Equipo Iridotomia;1;2016-02-10 16:54:56;;;150;2;U01;200101;
16;Derechos de Equipo Capsulotomia;1;2016-02-10 16:56:46;;;150;2;U02;200101;
17;Derechos de Equipo Excimer Láser;1;2016-02-11 16:00:20;;;150;2;U02;200101;
18;Lentes Intraoculares Rayner;1;2016-02-16 08:23:09;;;150;3;U04;200101;
19;Derechos de Equipo Láser de Retina;1;2016-02-16 11:37:32;;;150;2;U03;200101;
20;Derechos de Equipo Iridoplastia;1;2016-02-29 08:25:41;;;150;2;U03;200101;
21;Anillo de Tensión Capsular;1;2016-04-11 09:20:20;;;150;1;U02;200101;
22;Lentes Intraoculares especiales;1;2016-07-27 14:20:31;;;150;3;U04;200101;
23;Lentes de Contacto de Apoyo Escleral;1;2016-08-05 16:54:41;;;150;4;U04;200101;
24;Lentes Intraoculares Panoptix;1;2016-08-16 10:09:07;;;150;3;U04;200101;
25;Lentes Intraoculares Precizon Torico +5;1;2016-09-07 15:34:49;;;150;3;U04;200101;
26;Derechos de Equipo Suturolisis;1;2016-09-22 15:34:48;;;150;2;U02;200101;
27;Lentes de Contacto Rigido Escleral por unidad;1;2016-10-10 15:03:45;;;150;4;U04;200101;
29;Lentes Intraoculares Fine Vision Trifocal;1;2016-11-04 08:23:41;;;150;3;U04;200101;
30;Lentes Intraoculares Artisan Faquico Esferico;1;2016-11-04 10:24:16;;;150;3;U04;200101;
31;Anillo Intraestromal;1;2016-11-09 11:13:16;;;150;1;U02;200101;
32;Lentes Intraoculares Rigidos;1;2016-11-11 10:04:23;;;150;3;U04;200101;
33;Lentes Intraoculares Acryfold;1;2016-11-17 15:52:13;;;150;3;U04;200101;
34;Lentes de contacto ortoqueratología;1;2016-11-30 09:35:51;;;150;4;U04;200101;
35;Derechos de láser de pestañas;1;2017-03-14 15:39:32;;;150;2;U02;200101;
36;Lentes Intraoculares C770BD;1;2017-04-05 14:42:09;;;150;3;U04;200101;
37;Lentes Intraoculares Panoptix Torico;1;2017-05-25 08:42:51;;;150;3;U04;200101;
38;Derechos de Equipo Trabeculoplastia;1;2017-08-10 15:42:16;;;150;2;U02;200101;
39;Lentes intraoculares MA60AC;1;2017-08-15 11:59:54;;;150;3;U04;200101;
40;Lentes Intraoculares Precizon Torico -5;1;2017-08-15 12:48:11;;;150;3;U04;200101;
41;Lentes Intraoculares Fine Vision Trifocal Torico;1;2017-08-15 14:03:03;;;150;3;U04;200101;
42;Lentes Intraoculares ICL Esferico;1;2017-08-15 14:06:01;;;150;3;U04;200101;
43;Lentes Intraoculares ICL Torico;1;2017-08-15 14:06:27;;;150;3;U04;200101;
44;Derechos Refracción Intraoperatoria;1;2017-12-13 09:23:53;;;150;3;U02;200101;
45;Lentes Intraoculares ISERT 250 HOYA (Monofocal asf;1;2017-12-15 09:51:58;;;150;3;U04;200101;
46;Lentes Intraoculares AT LISA TRI 839 MP  ZEISS (Tr;1;2017-12-18 07:54:25;;;150;3;U04;200101;
47;Lentes Intraoculares AT LISA 809 MP ZEISS (Bifocal;1;2017-12-18 07:55:07;;;150;3;U04;200101;
48;Lentes Intraoculares CT LUCIA ZEISS  (Monofocal as;1;2017-12-18 07:55:32;;;150;3;U04;200101;
49;Lentes de Contacto Blando Torico Extrarrango par;1;2018-02-20 10:32:00;;;150;4;U04;200101;
50;Lentes de Contacto Blando Esférico Extrarrango par;1;2018-02-20 10:33:00;;;150;4;U04;200101;
51;Lentes de Contacto Multifocal;1;2018-02-20 10:34:00;;;150;4;U04;200101;
52;Lentes de Contacto Terapeutico;1;2018-02-20 11:21:12;;;150;4;U04;200101;
53;Lentes de Contacto Hidrogel Silicona DK 100 por un;1;2018-02-20 11:25:30;;;150;4;U04;200101;
54;Lentes de Contacto Blandos Desechables caja x 6;1;2018-02-20 11:26:20;;;150;4;U04;200101;
55;Lentes de Contacto Esfericos Bioinfinity Hidrogel ;1;2018-02-20 11:35:11;;;150;4;U04;200101;
56;Lentes de Contacto Toricos Bioinfinity Hidrogel Si;1;2018-02-20 14:00:23;;;150;4;U04;200101;
