autoincremental;numero tag;tag
1;653;e2801191a502006034efe89b
2;654;e2801191a502006034efe89a
3;655;e2801191a502006034efe899
4;656;e2801191a502006034efe898
5;657;e2801191a502006034efe897
6;658;e2801191a502006034efe896
7;659;e2801191a502006034efe895
8;660;e2801191a502006034efe894
9;661;e2801191a502006034efe893
10;662;e2801191a502006034efe892
11;663;e2801191a502006034efe891
12;664;e2801191a502006034efe890
13;665;e2801191a502006034f0079f
14;666;e2801191a502006034f0079e
15;667;e2801191a502006034f0079d
16;668;e2801191a502006034f0079c
17;669;e2801191a502006034f0079b
18;670;e2801191a502006034f0079a
19;671;e2801191a502006034f00799
20;672;e2801191a502006034f00798
21;673;e2801191a502006034f00797
22;674;e2801191a502006034f00796
23;675;e2801191a502006034f00795
24;676;e2801191a502006034f00794
25;677;e2801191a502006034f00793
26;678;e2801191a502006034f00792
27;679;e2801191a502006034f00791
28;680;e2801191a502006034f00790
29;681;e2801191a502006034f0069f
30;682;e2801191a502006034f0069e
31;683;e2801191a502006034f0069d
32;684;e2801191a502006034f0069c
33;685;e2801191a502006034f0069b
34;686;e2801191a502006034f0069a
35;687;e2801191a502006034f00699
36;688;e2801191a502006034f00698
37;689;e2801191a502006034f00697
38;690;e2801191a502006034f00696
39;691;e2801191a502006034f00695
40;692;e2801191a502006034f00694
41;693;e2801191a502006034f00693
42;694;e2801191a502006034f00692
43;695;e2801191a502006034f00691
44;696;e2801191a502006034f00690
45;697;e2801191a502006034efc59f
46;698;e2801191a502006034efc59e
47;699;e2801191a502006034efc59d
48;700;e2801191a502006034efc59c
49;701;e2801191a502006034efc59b
50;702;e2801191a502006034efc59a
51;703;e2801191a502006034efc599
52;704;e2801191a502006034efc598
53;705;e2801191a502006034efc597
54;706;e2801191a502006034efc596
55;707;e2801191a502006034efc595
56;708;e2801191a502006034efc594
57;709;e2801191a502006034efc593
58;710;e2801191a502006034efc592
59;711;e2801191a502006034efc591
60;712;e2801191a502006034efc99f
61;713;e2801191a502006034efc99e
62;714;e2801191a502006034efc99d
63;715;e2801191a502006034efc99c
64;716;e2801191a502006034efc99b
65;717;e2801191a502006034efc99a
66;718;e2801191a502006034efc999
67;719;e2801191a502006034efc998
68;720;e2801191a502006034efc997
69;721;e2801191a502006034efc996
70;722;e2801191a502006034efc995
71;723;e2801191a502006034efc994
72;724;e2801191a502006034efc993
73;725;e2801191a502006034efc992
74;726;e2801191a502006034efc991
75;727;e2801191a502006034efc990
76;728;e2801191a502006034efc89f
77;729;e2801191a502006034efc89e
78;730;e2801191a502006034efc89d
79;731;e2801191a502006034efc89c
80;732;e2801191a502006034efc89b
81;733;e2801191a502006034efc89a
82;734;e2801191a502006034efc899
83;735;e2801191a502006034efc898
84;736;e2801191a502006034efc897
85;737;e2801191a502006034efc896
86;738;e2801191a502006034efc895
87;739;e2801191a502006034efc894
88;740;e2801191a502006034efc893
89;741;e2801191a502006034efc892
90;742;e2801191a502006034efc891
91;743;e2801191a502006034efc890
92;744;e2801191a502006034efe79f
93;745;e2801191a502006034efe79e
94;746;e2801191a502006034efe79d
95;747;e2801191a502006034efe79c
96;748;e2801191a502006034efe79b
97;749;e2801191a502006034efe79a
98;780;e2801191a502006034efe799
99;781;e2801191a502006034efe798
100;782;e2801191a502006034efe797
101;783;e2801191a502006034efe796
102;784;e2801191a502006034efe795
103;785;e2801191a502006034efe794
104;786;e2801191a502006034efe793
105;787;e2801191a502006034efe792
106;788;e2801191a502006034efe791
107;789;e2801191a502006034efe790
108;790;e2801191a502006034efe69f
109;791;e2801191a502006034efe69e
110;792;e2801191a502006034efe69d
111;793;e2801191a502006034efe69c
112;794;e2801191a502006034efe69b
113;795;e2801191a502006034efe69a
114;796;e2801191a502006034efe699
115;797;e2801191a502006034efe698
116;798;e2801191a502006034efe697
117;799;e2801191a502006034efe696
118;800;e2801191a502006034efe695
119;801;e2801191a502006034efe694
120;802;e2801191a502006034efe693
121;803;e2801191a502006034efe692
122;804;e2801191a502006034efe691
123;805;e2801191a502006034efe690
124;806;e2801191a502006034efa59f
125;807;e2801191a502006034efa59e
126;808;e2801191a502006034efa59d
127;809;e2801191a502006034efa59c
128;810;e2801191a502006034efa59b
