CODIGO_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO DET;TIPO INSUMO;UND NEGOCIOS;CENTRO_COSTOS
1;13;LENTES DE CONTACTO;LCI-0000001;150;4;U04;200101
2;23;LENTES DE CONTACTO DE APOYO ESCLERAL;LCI-0000002;150;4;U04;200101
3;27;LENTES DE CONTACTO RIGIDO ESCLERAL POR UNIDAD;LCI-0000003;150;4;U04;200101
4;34;LENTES DE CONTACTO ORTOQUERATOLOGIA;LCI-0000004;150;4;U04;200101
5;49;LENTES DE CONTACTO BLANDO TORICO EXTRARRANGO PAR;LCI-0000005;150;4;U04;200101
6;50;LENTES DE CONTACTO BLANDO ESFERICO EXTRARRANGO PAR;LCI-0000006;150;4;U04;200101
7;51;LENTES DE CONTACTO MULTIFOCAL;LCI-0000007;150;4;U04;200101
8;52;LENTES DE CONTACTO TERAPEUTICO;LCI-0000008;150;4;U04;200101
9;53;LENTES DE CONTACTO HIDROGEL SILICONA DK 100 POR UNIDAD;LCI-0000009;150;4;U04;200101
10;54;LENTES DE CONTACTO BLANDOS DESECHABLES CAJA X 6;LCI-0000010;150;4;U04;200101
11;55;LENTES DE CONTACTO ESFERICOS BIOINFINITY HIDROGEL SILICONA CAJA X 6;LCI-0000011;150;4;U04;200101
12;56;LENTES DE CONTACTO TORICOS BIOINFINITY HIDROGEL SILICONA CAJA X 6;LCI-0000012;150;4;U04;200101
13;57;LENTES DE CONTACTO TORICO AIR OPTIX HIDROGEL SILICONA CAJA X 6;LCI-0000013;150;4;U04;200101
14;58;LENTES DE CONTACTO PROCLEAR ESFERICO DE -20 A +20 HIDROGEL SILICONA CAJA X 6;LCI-0000014;150;4;U04;200101
15;59;LENTES DE CONTACTO TORICOS (PARA CORRECCION DE ASTIGMATISMO) ACUVUE OASIS;LCI-0000015;150;4;U04;200101
16;60;LENTES DE CONTACTO TORICOS (PARA CORRECCION DE ASTIGMATISMO) PURE VISION II;LCI-0000016;150;4;U04;200101
17;61;LENTES DE CONTACTO TORICOS SOFLENS CAJA X 6;LCI-0000017;150;4;U04;200101
18;62;LENTES DE CONTACTO REEMPLAZO PROGRAMADO AIR OPTIX AQUA CAJA X 6;LCI-0000018;150;4;U04;200101
19;63;LENTES DE CONTACTO REEMPLAZO PROGRAMADO O2 OPTIX HIDROGEL DE SILICONA CAJA X6;LCI-0000019;150;4;U04;200101
20;64;LENTES DE CONTACTO REEMPLAZO PROGRAMADO PURE VISION II (HIDROGEL DE SILICONA) CAJA X 6;LCI-0000020;150;4;U04;200101
21;65;LENTES DE CONTACTO COSMOPROTESICO POR UNIDAD (CUALQUIER FORMULA);LCI-0000021;150;4;U04;200101
22;66;LENTES DE CONTACTO GAS PERMEABLE DK65 (CUALQUIER FORMULA) PAR;LCI-0000022;150;4;U04;200101
23;67;LENTES DE CONTACTO GAS PERMEABLE DK50 (CUALQUIER FORMULA) PAR;LCI-0000023;150;4;U04;200101
24;68;LENTES DE CONTACTO BLANDOS DE USO DIARIO CAJA X 30;LCI-0000024;150;4;U04;200101
25;69;LENTES DE CONTACTO BLANDOS CONVENCIONAL PAR;LCI-0000025;150;4;U04;200101
26;2026;LENTES DE CONTACTO SOFTLENS 59 +6.00;LCI-0000026;150;4;U04;200101
27;2027;LENTES DE CONTACTO SOFTLENS 59 +5.75;LCI-0000027;150;4;U04;200101
28;2028;LENTES DE CONTACTO SOFTLENS 59 +5.50;LCI-0000028;150;4;U04;200101
29;2029;LENTES DE CONTACTO SOFTLENS 59 +5.25;LCI-0000029;150;4;U04;200101
30;2030;LENTES DE CONTACTO SOFTLENS 59 +5.00;LCI-0000030;150;4;U04;200101
31;2031;LENTES DE CONTACTO SOFTLENS 59 +4.75;LCI-0000031;150;4;U04;200101
32;2032;LENTES DE CONTACTO SOFTLENS 59 +4.50;LCI-0000032;150;4;U04;200101
33;2033;LENTES DE CONTACTO SOFTLENS 59 +4.25;LCI-0000033;150;4;U04;200101
34;2034;LENTES DE CONTACTO SOFTLENS 59 +4.00;LCI-0000034;150;4;U04;200101
35;2035;LENTES DE CONTACTO SOFTLENS 59 +3.75;LCI-0000035;150;4;U04;200101
36;2036;LENTES DE CONTACTO SOFTLENS 59 +3.50;LCI-0000036;150;4;U04;200101
37;2037;LENTES DE CONTACTO SOFTLENS 59 +3.25;LCI-0000037;150;4;U04;200101
38;2038;LENTES DE CONTACTO SOFTLENS 59 +3.00;LCI-0000038;150;4;U04;200101
39;2039;LENTES DE CONTACTO SOFTLENS 59 +2.75;LCI-0000039;150;4;U04;200101
40;2040;LENTES DE CONTACTO SOFTLENS 59 +2.50;LCI-0000040;150;4;U04;200101
41;2041;LENTES DE CONTACTO SOFTLENS 59 +2.25;LCI-0000041;150;4;U04;200101
42;2042;LENTES DE CONTACTO SOFTLENS 59 +2.00;LCI-0000042;150;4;U04;200101
43;2043;LENTES DE CONTACTO SOFTLENS 59 +1.75;LCI-0000043;150;4;U04;200101
44;2044;LENTES DE CONTACTO SOFTLENS 59 +1.50;LCI-0000044;150;4;U04;200101
45;2045;LENTES DE CONTACTO SOFTLENS 59 +1.25;LCI-0000045;150;4;U04;200101
46;2046;LENTES DE CONTACTO SOFTLENS 59 +1.00;LCI-0000046;150;4;U04;200101
47;2047;LENTES DE CONTACTO SOFTLENS 59 +0.75;LCI-0000047;150;4;U04;200101
48;2048;LENTES DE CONTACTO SOFTLENS 59 +0.50;LCI-0000048;150;4;U04;200101
49;2049;LENTES DE CONTACTO SOFTLENS 59 +0.25;LCI-0000049;150;4;U04;200101
50;2050;LENTES DE CONTACTO SOFTLENS 59 +0.00;LCI-0000050;150;4;U04;200101
51;2051;LENTES DE CONTACTO SOFTLENS 59 -0.25;LCI-0000051;150;4;U04;200101
52;2052;LENTES DE CONTACTO SOFTLENS 59 -0.50;LCI-0000052;150;4;U04;200101
53;2053;LENTES DE CONTACTO SOFTLENS 59 -0.75;LCI-0000053;150;4;U04;200101
54;2054;LENTES DE CONTACTO SOFTLENS 59 -1.00;LCI-0000054;150;4;U04;200101
55;2055;LENTES DE CONTACTO SOFTLENS 59 -1.25;LCI-0000055;150;4;U04;200101
56;2056;LENTES DE CONTACTO SOFTLENS 59 -1.50;LCI-0000056;150;4;U04;200101
57;2057;LENTES DE CONTACTO SOFTLENS 59 -1.75;LCI-0000057;150;4;U04;200101
58;2058;LENTES DE CONTACTO SOFTLENS 59 -2.00;LCI-0000058;150;4;U04;200101
59;2059;LENTES DE CONTACTO SOFTLENS 59 -2.25;LCI-0000059;150;4;U04;200101
60;2060;LENTES DE CONTACTO SOFTLENS 59 -2.50;LCI-0000060;150;4;U04;200101
61;2061;LENTES DE CONTACTO SOFTLENS 59 -2.75;LCI-0000061;150;4;U04;200101
62;2062;LENTES DE CONTACTO SOFTLENS 59 -3.00;LCI-0000062;150;4;U04;200101
63;2063;LENTES DE CONTACTO SOFTLENS 59 -3.25;LCI-0000063;150;4;U04;200101
64;2064;LENTES DE CONTACTO SOFTLENS 59 -3.50;LCI-0000064;150;4;U04;200101
65;2065;LENTES DE CONTACTO SOFTLENS 59 -3.75;LCI-0000065;150;4;U04;200101
66;2066;LENTES DE CONTACTO SOFTLENS 59 -4.00;LCI-0000066;150;4;U04;200101
67;2067;LENTES DE CONTACTO SOFTLENS 59 -4.25;LCI-0000067;150;4;U04;200101
68;2068;LENTES DE CONTACTO SOFTLENS 59 -4.50;LCI-0000068;150;4;U04;200101
69;2069;LENTES DE CONTACTO SOFTLENS 59 -4.75;LCI-0000069;150;4;U04;200101
70;2070;LENTES DE CONTACTO SOFTLENS 59 -5.00;LCI-0000070;150;4;U04;200101
71;2071;LENTES DE CONTACTO SOFTLENS 59 -5.25;LCI-0000071;150;4;U04;200101
