CODIGO_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO;TIPO INSUMO DET;UND NEGOCIOS;CENTRO_COSTOS
1;13;LENTES DE CONTACTO;LCI-0000001;4;150;4;200102
2;23;LENTES DE CONTACTO DE APOYO ESCLERAL;LCI-0000002;4;150;4;200102
3;27;LENTES DE CONTACTO RIGIDO ESCLERAL POR UNIDAD;LCI-0000003;4;150;4;200102
4;34;LENTES DE CONTACTO ORTOQUERATOLOGIA;LCI-0000004;4;150;4;200102
5;49;LENTES DE CONTACTO BLANDO TORICO EXTRARRANGO PAR;LCI-0000005;4;150;4;200102
6;50;LENTES DE CONTACTO BLANDO ESFERICO EXTRARRANGO PAR;LCI-0000006;4;150;4;200102
7;51;LENTES DE CONTACTO MULTIFOCAL;LCI-0000007;4;150;4;200102
8;52;LENTES DE CONTACTO TERAPEUTICO;LCI-0000008;4;150;4;200102
9;53;LENTES DE CONTACTO HIDROGEL SILICONA DK 100 POR UNIDAD;LCI-0000009;4;150;4;200102
10;54;LENTES DE CONTACTO BLANDOS DESECHABLES CAJA X 6;LCI-0000010;4;150;4;200102
11;55;LENTES DE CONTACTO ESFERICOS BIOINFINITY HIDROGEL SILICONA CAJA X 6;LCI-0000011;4;150;4;200102
12;56;LENTES DE CONTACTO TORICOS BIOINFINITY HIDROGEL SILICONA CAJA X 6;LCI-0000012;4;150;4;200102
13;57;LENTES DE CONTACTO TORICO AIR OPTIX HIDROGEL SILICONA CAJA X 6;LCI-0000013;4;150;4;200102
14;58;LENTES DE CONTACTO PROCLEAR ESFERICO DE -20 A +20 HIDROGEL SILICONA CAJA X 6;LCI-0000014;4;150;4;200102
15;59;LENTES DE CONTACTO TORICOS (PARA CORRECCION DE ASTIGMATISMO) ACUVUE OASIS;LCI-0000015;4;150;4;200102
16;60;LENTES DE CONTACTO TORICOS (PARA CORRECCION DE ASTIGMATISMO) PURE VISION II;LCI-0000016;4;150;4;200102
17;61;LENTES DE CONTACTO TORICOS SOFLENS CAJA X 6;LCI-0000017;4;150;4;200102
18;62;LENTES DE CONTACTO REEMPLAZO PROGRAMADO AIR OPTIX AQUA CAJA X 6;LCI-0000018;4;150;4;200102
