Item;Referencia;Desc. item;cod_siesa;id_insumo;id_insumo_p;und_negocio;cod_centro
389;73;LENTE INTRAOCULAR OCUFLEX +15.00        ;LI-0000001;150;3;U04;200101
390;74;LENTE INTRAOCULAR OCUFLEX +16.00        ;LI-0000002;150;3;U04;200101
391;75;LENTE INTRAOCULAR OCUFLEX +17.00        ;LI-0000003;150;3;U04;200101
392;76;LENTE INTRAOCULAR OCUFLEX +17.50        ;LI-0000004;150;3;U04;200101
393;77;LENTE INTRAOCULAR OCUFLEX +18.00        ;LI-0000005;150;3;U04;200101
394;78;LENTE INTRAOCULAR OCUFLEX +18.50        ;LI-0000006;150;3;U04;200101
395;79;LENTE INTRAOCULAR OCUFLEX +19.00        ;LI-0000007;150;3;U04;200101
396;80;LENTE INTRAOCULAR OCUFLEX +19.50        ;LI-0000008;150;3;U04;200101
397;81;LENTE INTRAOCULAR OCUFLEX +20.00        ;LI-0000009;150;3;U04;200101
398;82;LENTE INTRAOCULAR OCUFLEX +20.50        ;LI-0000010;150;3;U04;200101
399;83;LENTE INTRAOCULAR OCUFLEX +21.00        ;LI-0000011;150;3;U04;200101
400;84;LENTE INTRAOCULAR OCUFLEX +21.50        ;LI-0000012;150;3;U04;200101
401;85;LENTE INTRAOCULAR OCUFLEX +22.00        ;LI-0000013;150;3;U04;200101
402;86;LENTE INTRAOCULAR OCUFLEX +22.50        ;LI-0000014;150;3;U04;200101
403;87;LENTE INTRAOCULAR OCUFLEX +23.00        ;LI-0000015;150;3;U04;200101
404;88;LENTE INTRAOCULAR OCUFLEX +23.50        ;LI-0000016;150;3;U04;200101
405;89;LENTE INTRAOCULAR OCUFLEX +24.00        ;LI-0000017;150;3;U04;200101
406;90;LENTE INTRAOCULAR OCUFLEX +24.50        ;LI-0000018;150;3;U04;200101
407;91;LENTE INTRAOCULAR OCUFLEX +25.00        ;LI-0000019;150;3;U04;200101
408;92;LENTE INTRAOCULAR OCUFLEX +26.00        ;LI-0000020;150;3;U04;200101
409;93;LENTE INTRAOCULAR OCUFLEX +27.00        ;LI-0000021;150;3;U04;200101
410;94;LENTE INTRAOCULAR OCUFLEX +28.00        ;LI-0000022;150;3;U04;200101
411;95;LENTE INTRAOCULAR OCUFLEX +29.00        ;LI-0000023;150;3;U04;200101
412;96;LENTE INTRAOCULAR OCUFLEX +30.00        ;LI-0000024;150;3;U04;200101
413;97;LENTE INTRAOCULAR OCUFLEX +31.00        ;LI-0000025;150;3;U04;200101
414;98;LENTE INTRAOCULAR OCUFLEX +32.00        ;LI-0000026;150;3;U04;200101
415;99;LENTE INTRAOCULAR OCUFLEX +33.00        ;LI-0000027;150;3;U04;200101
416;100;LENTE INTRAOCULAR OCUFLEX +34.00        ;LI-0000028;150;3;U04;200101
417;101;LENTE INTRAOCULAR SA60AT+6.00           ;LI-0000029;150;3;U04;200101
418;102;LENTE INTRAOCULAR SA60AT+6.50           ;LI-0000030;150;3;U04;200101
419;103;LENTE INTRAOCULAR SA60AT+7.00           ;LI-0000031;150;3;U04;200101
420;104;LENTE INTRAOCULAR SA60AT+7.50           ;LI-0000032;150;3;U04;200101
421;105;LENTE INTRAOCULAR SA60AT+8.00           ;LI-0000033;150;3;U04;200101
422;106;LENTE INTRAOCULAR SA60AT+8.50           ;LI-0000034;150;3;U04;200101
423;107;LENTE INTRAOCULAR SA60AT+9.00           ;LI-0000035;150;3;U04;200101
424;108;LENTE INTRAOCULAR SA60AT+9.50           ;LI-0000036;150;3;U04;200101
425;109;LENTE INTRAOCULAR SA60AT+10.00          ;LI-0000037;150;3;U04;200101
426;110;LENTE INTRAOCULAR SA60AT+10.50          ;LI-0000038;150;3;U04;200101
427;111;LENTE INTRAOCULAR SA60AT+11.00          ;LI-0000039;150;3;U04;200101
428;112;LENTE INTRAOCULAR SA60AT+11.50          ;LI-0000040;150;3;U04;200101
429;113;LENTE INTRAOCULAR SA60AT+12.00          ;LI-0000041;150;3;U04;200101
430;114;LENTE INTRAOCULAR SA60AT+12.50          ;LI-0000042;150;3;U04;200101
431;115;LENTE INTRAOCULAR SA60AT+13.00          ;LI-0000043;150;3;U04;200101
432;116;LENTE INTRAOCULAR SA60AT+13.50          ;LI-0000044;150;3;U04;200101
433;117;LENTE INTRAOCULAR SA60AT+14.00          ;LI-0000045;150;3;U04;200101
434;118;LENTE INTRAOCULAR SA60AT+14.50          ;LI-0000046;150;3;U04;200101
435;119;LENTE INTRAOCULAR SA60AT+15.00          ;LI-0000047;150;3;U04;200101
436;120;LENTE INTRAOCULAR SA60AT+15.50          ;LI-0000048;150;3;U04;200101
437;121;LENTE INTRAOCULAR SA60AT+16.00          ;LI-0000049;150;3;U04;200101
438;122;LENTE INTRAOCULAR SA60AT+16.50          ;LI-0000050;150;3;U04;200101
439;123;LENTE INTRAOCULAR SA60AT+17.00          ;LI-0000051;150;3;U04;200101
440;124;LENTE INTRAOCULAR SA60AT+17.50          ;LI-0000052;150;3;U04;200101
441;125;LENTE INTRAOCULAR SA60AT+18.00          ;LI-0000053;150;3;U04;200101
442;126;LENTE INTRAOCULAR SA60AT+18.50          ;LI-0000054;150;3;U04;200101
443;127;LENTE INTRAOCULAR SA60AT+19.00          ;LI-0000055;150;3;U04;200101
444;128;LENTE INTRAOCULAR SA60AT+19.50          ;LI-0000056;150;3;U04;200101
445;129;LENTE INTRAOCULAR SA60AT+20.00          ;LI-0000057;150;3;U04;200101
446;130;LENTE INTRAOCULAR SA60AT+20.50          ;LI-0000058;150;3;U04;200101
447;131;LENTE INTRAOCULAR SA60AT+21.00          ;LI-0000059;150;3;U04;200101
448;132;LENTE INTRAOCULAR SA60AT+21.50          ;LI-0000060;150;3;U04;200101
449;133;LENTE INTRAOCULAR SA60AT+22.00          ;LI-0000061;150;3;U04;200101
450;134;LENTE INTRAOCULAR SA60AT+22.50          ;LI-0000062;150;3;U04;200101
451;135;LENTE INTRAOCULAR SA60AT+23.00          ;LI-0000063;150;3;U04;200101
452;136;LENTE INTRAOCULAR SA60AT+23.50          ;LI-0000064;150;3;U04;200101
453;137;LENTE INTRAOCULAR SA60AT+24.00          ;LI-0000065;150;3;U04;200101
454;138;LENTE INTRAOCULAR SA60AT+24.50          ;LI-0000066;150;3;U04;200101
455;139;LENTE INTRAOCULAR SA60AT+25.00          ;LI-0000067;150;3;U04;200101
456;140;LENTE INTRAOCULAR SA60AT+25.50          ;LI-0000068;150;3;U04;200101
457;141;LENTE INTRAOCULAR SA60AT+26.00          ;LI-0000069;150;3;U04;200101
458;142;LENTE INTRAOCULAR SA60AT+26.50          ;LI-0000070;150;3;U04;200101
459;143;LENTE INTRAOCULAR SA60AT+27.00          ;LI-0000071;150;3;U04;200101
460;144;LENTE INTRAOCULAR SA60AT+27.50          ;LI-0000072;150;3;U04;200101
461;145;LENTE INTRAOCULAR SA60AT+28.00          ;LI-0000073;150;3;U04;200101
462;146;LENTE INTRAOCULAR SA60AT+28.50          ;LI-0000074;150;3;U04;200101
463;147;LENTE INTRAOCULAR SA60AT+29.00          ;LI-0000075;150;3;U04;200101
464;148;LENTE INTRAOCULAR SA60AT+29.50          ;LI-0000076;150;3;U04;200101
465;149;LENTE INTRAOCULAR SA60AT+30.00          ;LI-0000077;150;3;U04;200101
466;150;LENTE INTRAOCULAR SA60AT+30.50          ;LI-0000078;150;3;U04;200101
467;151;LENTE INTRAOCULAR SA60AT+31.00          ;LI-0000079;150;3;U04;200101
468;152;LENTE INTRAOCULAR SA60AT+31.50          ;LI-0000080;150;3;U04;200101
469;153;LENTE INTRAOCULAR SA60AT+32.00          ;LI-0000081;150;3;U04;200101
470;154;LENTE INTRAOCULAR SA60AT+32.50          ;LI-0000082;150;3;U04;200101
471;155;LENTE INTRAOCULAR SA60AT+33.00          ;LI-0000083;150;3;U04;200101
472;156;LENTE INTRAOCULAR SA60AT+33.50          ;LI-0000084;150;3;U04;200101
473;157;LENTE INTRAOCULAR SA60AT+34.00          ;LI-0000085;150;3;U04;200101
474;158;LENTE INTRAOCULAR SA60AT+34.50          ;LI-0000086;150;3;U04;200101
475;159;LENTE INTRAOCULAR SA60AT+35.00          ;LI-0000087;150;3;U04;200101
476;160;LENTE INTRAOCULAR SA60AT+35.50          ;LI-0000088;150;3;U04;200101
477;161;LENTE INTRAOCULAR SA60AT+36.00          ;LI-0000089;150;3;U04;200101
478;162;LENTE INTRAOCULAR SA60AT+36.50          ;LI-0000090;150;3;U04;200101
479;163;LENTE INTRAOCULAR SA60AT+37.00          ;LI-0000091;150;3;U04;200101
480;164;LENTE INTRAOCULAR SA60AT+37.50          ;LI-0000092;150;3;U04;200101
481;165;LENTE INTRAOCULAR SA60AT+38.00          ;LI-0000093;150;3;U04;200101
482;166;LENTE INTRAOCULAR SA60AT+38.50          ;LI-0000094;150;3;U04;200101
483;167;LENTE INTRAOCULAR SA60AT+39.00          ;LI-0000095;150;3;U04;200101
